file,lines,size_bytes
02a-legacy-reports-kpi-table-foundation.css,61,962
02b-legacy-premium-modal-base.css,85,2231
02c-legacy-detail-drawer-primitives.css,120,2122
02d-legacy-detail-compact-density.css,40,935
02e-legacy-smart-tooltip-transitions.css,42,1098
02f-legacy-page-shell-modern.css,63,1389
02g-legacy-ux-button-core-loading.css,161,3886
02h-legacy-ux-button-motion-presets.css,200,7406
02i-legacy-people-list-controls-fields.css,173,4173
02j-legacy-report-toolbar-filters.css,176,3854
02k-legacy-cards-toasts-feedback-loading.css,222,7713
02l-legacy-wizard-table-quicklinks-installments.css,190,6013
02m-legacy-accessibility-focus-transition-base.css,11,302
02n-legacy-customers-hero-toolbar.css,39,1724
02o-legacy-telegram-link-modal.css,370,13916
02p-legacy-people-action-buttons-chips.css,31,1124
