name,isType,status
SettingsAccountPanel,False,OK
SettingsBusinessPanel,False,OK
SettingsDataPanel,False,OK
SettingsLocalPanel,False,OK
SettingsModulesPanel,False,OK
SettingsPricingPanel,False,OK
SettingsRemindersPanel,False,OK
SettingsSmartPanel,False,OK
SettingsSmsPanel,False,OK
SettingsStylePanel,False,OK
SettingsTelegramPanel,False,OK
SettingsUsersModals,False,OK
SettingsUsersPanel,False,OK
BackupItem,True,OK
PricingDecisionLogItem,True,OK
PricingLearningItem,True,OK
PricingToneMeta,True,OK
SmsBusinessInfo,True,OK
TelegramBusinessInfo,True,OK
TelegramControlCenterState,True,OK
TelegramDiagnosticsState,True,OK
TelegramHealthState,True,OK
TelegramMessageFormat,True,OK
TelegramRecentChat,True,OK
TelegramTemplateDef,True,OK
TelegramTemplateVariable,True,OK
